date,FXUSDCAD,log_fx,diff_log_fx
2017-01-13,1.3141,0.27315202066745536,-0.005539759946192824
2017-01-20,1.3356,0.28938062908736234,0.016228608419906976
2017-01-27,1.3123,0.27178132292010393,-0.01759930616725841
2017-02-03,1.3016,0.26359427692269105,-0.008187045997412878
2017-02-10,1.3084,0.2688050166820918,0.005210739759400729
2017-02-17,1.3102,0.27017979731563896,0.001374780633547179
2017-02-24,1.3095,0.2696453849656296,-0.000534412350009339
2017-03-03,1.3405,0.29304267869387696,0.023397293728247337
2017-03-10,1.3464,0.2974343638944592,0.0043916852005822515
2017-03-17,1.3337,0.28795703464621186,-0.009477329248247346
2017-03-24,1.3374,0.29072743063774104,0.002770395991529173
2017-03-31,1.331,0.2859305394129745,-0.0047968912247665085
2017-04-07,1.3395,0.2922964100025263,0.006365870589551792
2017-04-14,1.3275,0.2832974741339568,-0.008998935868569535
2017-04-21,1.3506,0.3005489381586045,0.017251464024647722
2017-04-28,1.3662,0.31203316331561193,0.011484225157007422
2017-05-05,1.3712,0.3156862688613783,0.0036531055457663664
2017-05-12,1.3714,0.315832115868127,0.00014584700674868945
2017-05-19,1.3544,0.30335855183678856,-0.012473564031338424
2017-05-26,1.3456,0.2968400102365465,-0.006518541600242067
2017-06-02,1.3504,0.30040084485955565,0.003560834623009157
2017-06-09,1.3453,0.2966170365093601,-0.003783808350195539
2017-06-16,1.3232,0.28005304528728975,-0.016563991222070362
2017-06-23,1.3268,0.2827700280907603,0.0027169828034705468
2017-06-30,1.2977,0.26059346676104783,-0.022176561329712463
2017-07-07,1.2887,0.2536339583122084,-0.006959508448839413
2017-07-14,1.2672,0.23680974207802444,-0.01682421623418398
2017-07-21,1.2549,0.2270558881341253,-0.009753853943899132
2017-07-28,1.2447,0.21889453702479478,-0.008161351109330528
2017-08-04,1.2638,0.23412305535721786,0.015228518332423086
2017-08-11,1.2685,0.2378351000571995,0.003712044699981626
2017-08-18,1.2586,0.2299999921106961,-0.007835107946503383
2017-08-25,1.2492,0.22250334642678654,-0.007496645683909564
2017-09-01,1.239,0.2143046026470055,-0.008198743779781054
2017-09-08,1.2132,0.19326149683228905,-0.02104310581471644
2017-09-15,1.2182,0.19737435942024714,0.004112862587958094
2017-09-22,1.2317,0.20839532896530155,0.01102096954505441
2017-09-29,1.248,0.22154226994723591,0.013146940981934363
2017-10-06,1.2549,0.2270558881341253,0.005513618186889391
2017-10-13,1.2487,0.22210301013896233,-0.004952877995162974
2017-10-20,1.2601,0.23119108289351042,0.009088072754548093
2017-10-27,1.2874,0.2526246806363785,0.02143359774286807
2017-11-03,1.2764,0.24404361542195138,-0.008581065214427114
2017-11-10,1.2683,0.23767742109124682,-0.0063661943307045665
2017-11-17,1.2783,0.24553107019183898,0.007853649100592164
2017-11-24,1.2708,0.23964662341322399,-0.0058844467786149934
2017-12-01,1.2729,0.24129776189425176,0.0016511384810277696
