date,GASREGW,diff_log_gas
1993-05-31,1.107,0.0009037506263566697
1993-06-07,1.104,-0.002713705871596167
1993-06-14,1.101,-0.0027210901143607524
1993-06-21,1.095,-0.005464494472078779
1993-06-28,1.089,-0.0054945193176407225
1993-07-05,1.086,-0.002758622439079622
1993-07-12,1.081,-0.004614682854672578
1993-07-19,1.075,-0.005565877077445117
1993-07-26,1.069,-0.005597029536717951
1993-08-02,1.062,-0.006569709223160983
1993-08-09,1.06,-0.0018850146957713199
1993-08-16,1.059,-0.0009438415047064719
1993-08-23,1.065,0.005649732542119035
1993-08-30,1.062,-0.002820876341641243
1993-09-06,1.055,-0.006613155891717383
1993-09-13,1.051,-0.003798675033215751
1993-09-20,1.045,-0.00572520647803975
1993-09-27,1.047,0.0019120464716254754
1993-10-04,1.092,0.042081945434313636
1993-10-11,1.09,-0.001833181081660959
1993-10-18,1.093,0.002748512953349075
1993-10-25,1.092,-0.0009153318716881159
1993-11-01,1.084,-0.00735297430525883
1993-11-08,1.075,-0.008337241437828463
1993-11-15,1.064,-0.01028527066017338
1993-11-22,1.058,-0.005655057483345008
1993-11-29,1.051,-0.00663824154129368
1993-12-06,1.036,-0.014374948057522666
1993-12-13,1.018,-0.01752722570896033
1993-12-20,1.003,-0.014844409148532644
1993-12-27,0.999,-0.0039960093133819055
1994-01-03,0.992,-0.007031671363680732
1994-01-10,0.995,0.0030196298737199803
1994-01-17,1.001,0.0060120421566277095
1994-01-24,0.999,-0.002000000666666958
1994-01-31,1.005,0.0059880418446225025
1994-02-07,1.007,0.0019880722253861702
1994-02-14,1.016,0.008897735419865025
1994-02-21,1.009,-0.006913607784818362
1994-02-28,1.004,-0.004967720101934345
1994-03-07,1.007,0.0029835924668876815
1994-03-14,1.005,-0.0019880722253861702
1994-03-21,1.007,0.0019880722253861702
1994-03-28,1.012,0.004952957128848674
1994-04-04,1.011,-0.0009886308269395488
1994-04-11,1.028,0.01667522699463913
1994-04-18,1.033,0.004852023104528022
1994-04-25,1.037,0.0038647391098887915
1994-05-02,1.04,0.002888783905891125
1994-05-09,1.045,0.00479617226349293
1994-05-16,1.046,0.0009564802259569363
1994-05-23,1.05,0.003816798526700846
1994-05-30,1.056,0.005698021114637734
1994-06-06,1.065,0.00848661387731861
1994-06-13,1.073,0.0074836644871729835
1994-06-20,1.079,0.005576222627436206
1994-06-27,1.095,0.01471967699246654
1994-07-04,1.097,0.0018248180246290546
1994-07-11,1.103,0.005454558978272225
1994-07-18,1.109,0.005424968096864574
1994-07-25,1.114,0.0044984331368623925
1994-08-01,1.13,0.014260491219156748
1994-08-08,1.157,0.023612815487290426
1994-08-15,1.161,0.0034512545042149345
1994-08-22,1.165,0.0034393843019094594
1994-08-29,1.161,-0.0034393843019094594
1994-09-05,1.156,-0.004315932465568828
1994-09-12,1.15,-0.005203827875027017
1994-09-19,1.14,-0.008733679968754626
1994-09-26,1.129,-0.009695977238879036
1994-10-03,1.12,-0.008003599860521696
1994-10-10,1.114,-0.005371543801910905
1994-10-17,1.106,-0.007207238404949218
1994-10-24,1.107,0.0009037506263566697
1994-10-31,1.121,0.012567490363523046
1994-11-07,1.123,0.0017825316662832685
1994-11-14,1.122,-0.0008908686558014578
1994-11-21,1.113,-0.008053734807096896
1994-11-28,1.105,-0.007213737323691655
1994-12-05,1.103,-0.0018115946983507242
1994-12-12,1.095,-0.00727937700290128
1994-12-19,1.087,-0.0073327551293917576
1994-12-26,1.077,-0.009242209964820891
1995-01-02,1.079,0.0018552881017461081
1995-01-09,1.086,0.006466535235746196
1995-01-16,1.078,-0.0073937490249382926
1995-01-23,1.083,0.00462749553204804
1995-01-30,1.083,0.0
1995-02-06,1.076,-0.006484506279260782
1995-02-13,1.074,-0.0018604656529197378
1995-02-20,1.067,-0.006539023767056729
1995-02-27,1.073,0.0056074913289450995
1995-03-06,1.076,0.002791998091031367
1995-03-13,1.069,-0.006526829696684611
1995-03-20,1.068,-0.0009358915049049732
1995-03-27,1.075,0.006532921041622924
1995-04-03,1.087,0.011100946559446281
1995-04-10,1.103,0.014612132132293038
1995-04-17,1.117,0.01261277981569825
1995-04-24,1.138,0.01862581561707545
1995-05-01,1.148,0.00874896219323551
1995-05-08,1.169,0.018127384592556778
1995-05-15,1.179,0.008517939065302543
1995-05-22,1.197,0.015151805020602233
1995-05-29,1.199,0.00166944946954109
1995-06-05,1.199,0.0
1995-06-12,1.196,-0.002505220516937301
1995-06-19,1.189,-0.005870037819795115
1995-06-26,1.182,-0.005904698724738422
1995-07-03,1.175,-0.005939771387784093
1995-07-10,1.165,-0.008547060578458388
1995-07-17,1.153,-0.01035384573074194
1995-07-24,1.144,-0.007836348329315929
1995-07-31,1.132,-0.010544913176614962
1995-08-07,1.127,-0.004426744723351847
1995-08-14,1.125,-0.0017761994012557986
1995-08-21,1.124,-0.0008892841848840288
1995-08-28,1.117,-0.006247231384435781
1995-09-04,1.113,-0.0035874477936558707
1995-09-11,1.111,-0.0017985616359148388
1995-09-18,1.11,-0.0009004953332500815
1995-09-25,1.109,-0.0009013069560128845
1995-10-02,1.105,-0.00361337339851385
1995-10-09,1.097,-0.0072661536766229495
1995-10-16,1.087,-0.009157573154020812
1995-10-23,1.079,-0.007386921863074783
1995-10-30,1.068,-0.010246945737994423
1995-11-06,1.065,-0.0028129413766147665
1995-11-13,1.063,-0.0018796998015775598
1995-11-20,1.06,-0.002826191235835003
1995-11-27,1.061,0.0009429515078702086
1995-12-04,1.062,0.0009420631879011113
1995-12-11,1.063,0.0009411765400636832
1995-12-18,1.078,0.014012373126994652
1995-12-25,1.082,0.0037037079374843684
1996-01-01,1.083,0.0009237875945636714
1996-01-08,1.093,0.009191241175547968
1996-01-15,1.098,0.004564133892937486
1996-01-22,1.091,-0.006395636236405239
1996-01-29,1.087,-0.003673098711861375
1996-02-05,1.083,-0.00368664012021884
1996-02-12,1.08,-0.002773926882725125
1996-02-19,1.087,0.006460567002943965
1996-02-26,1.107,0.018232045587427456
1996-03-04,1.124,0.015240097744999612
1996-03-11,1.125,0.0008892841848840288
1996-03-18,1.135,0.008849615276982553
1996-03-25,1.164,0.025229698375880016
1996-04-01,1.178,0.011955735920148897
1996-04-08,1.204,0.02183126165723434
1996-04-15,1.242,0.031073636624657758
1996-04-22,1.256,0.011209084534719915
1996-04-29,1.273,0.013444251529262458
1996-05-06,1.275,0.001569859035119997
1996-05-13,1.277,0.0015673984400127738
1996-05-20,1.285,0.006245141296780887
1996-05-27,1.275,-0.007812539736793661
1996-06-03,1.269,-0.004716989878138844
1996-06-10,1.262,-0.005531424613229113
1996-06-17,1.258,-0.003174605840772643
1996-06-24,1.245,-0.010387628361577778
1996-07-01,1.234,-0.008874604433474959
1996-07-08,1.231,-0.0024340782808795203
1996-07-15,1.228,-0.00244001747736583
1996-07-22,1.227,-0.0008146639961762459
1996-07-29,1.218,-0.007361996441069191
1996-08-05,1.207,-0.009072227172310765
1996-08-12,1.203,-0.0033195051228526173
1996-08-19,1.205,0.0016611299500765009
1996-08-26,1.209,0.0033140046900372866
1996-09-02,1.197,-0.009975145056819512
1996-09-09,1.203,0.005000010416705725
1996-09-16,1.206,0.002490661312451792
1996-09-23,1.206,0.0
1996-09-30,1.2,-0.004987541511039084
1996-10-07,1.194,-0.0050125418235442976
1996-10-14,1.203,0.00750942202213159
1996-10-21,1.204,0.0008309098940873783
1996-10-28,1.215,0.009094729905882587
1996-11-04,1.223,0.00656277991252352
1996-11-11,1.226,0.002449980808984259
1996-11-18,1.236,0.008123521521479382
1996-11-25,1.244,0.006451635281488677
1996-12-02,1.241,-0.002414488094517442
1996-12-09,1.241,0.0
1996-12-16,1.236,-0.004037147186971235
1996-12-23,1.231,-0.004053511833182477
1996-12-30,1.227,-0.003254681473542076
1997-01-06,1.225,-0.001631321732084079
1997-01-13,1.241,0.012976662225779867
1997-01-20,1.241,0.0
1997-01-27,1.238,-0.0024203319600658857
1997-02-03,1.236,-0.0016168152269053493
1997-02-10,1.234,-0.0016194335523029568
1997-02-17,1.227,-0.005688759754421596
1997-02-24,1.223,-0.003265309023739088
1997-03-03,1.215,-0.00656277991252352
1997-03-10,1.206,-0.0074349784875181735
1997-03-17,1.2,-0.004987541511039084
1997-03-24,1.204,0.0033277900926746706
1997-03-31,1.2,-0.0033277900926746706
1997-04-07,1.203,0.0024968801985872924
1997-04-14,1.199,-0.0033305609471646347
1997-04-21,1.199,0.0
1997-04-28,1.195,-0.003341690661903207
1997-05-05,1.193,-0.0016750422676949372
1997-05-12,1.193,0.0
1997-05-19,1.203,0.008347293876762779
1997-05-26,1.212,0.007453450654580807
1997-06-02,1.215,0.0024721891453891587
1997-06-09,1.207,-0.006606134677117348
1997-06-16,1.198,-0.007484442422136944
1997-06-23,1.187,-0.009224384065726537
1997-06-30,1.181,-0.005067578412305734
1997-07-07,1.177,-0.00339270893708557
1997-07-14,1.173,-0.0034042586068012692
1997-07-21,1.177,0.0034042586068012692
1997-07-28,1.17,-0.005965079468475021
1997-08-04,1.193,0.01946739430611441
1997-08-11,1.228,0.028915686609171598
1997-08-18,1.229,0.0008140008589471448
1997-08-25,1.244,0.01213116373308984
1997-09-01,1.243,-0.0008041817884135438
1997-09-08,1.243,0.0
1997-09-15,1.236,-0.005647453493075133
1997-09-22,1.225,-0.008939515038808632
1997-09-29,1.21,-0.012320484388040676
1997-10-06,1.209,-0.0008267879759940311
1997-10-13,1.203,-0.0049751346401137875
1997-10-20,1.193,-0.008347293876762779
1997-10-27,1.182,-0.009263224131872694
1997-11-03,1.176,-0.005089069507471289
1997-11-10,1.177,0.0008499788017045928
1997-11-17,1.168,-0.007675943872104463
1997-11-24,1.162,-0.005150225976315842
1997-12-01,1.152,-0.008643096156019991
1997-12-08,1.141,-0.009594491393760812
1997-12-15,1.131,-0.008802873745955203
1997-12-22,1.121,-0.008881053043960543
1997-12-29,1.112,-0.008060948261632131
1998-01-05,1.102,-0.00903348509766791
1998-01-12,1.094,-0.007286006730933284
1998-01-19,1.083,-0.010105735980936018
1998-01-26,1.066,-0.015821642275200665
1998-02-02,1.061,-0.004701466111806822
1998-02-09,1.053,-0.007568626480007647
1998-02-16,1.038,-0.014347448408141457
1998-02-23,1.044,0.005763704716750084
1998-03-02,1.028,-0.015444322427473622
1998-03-09,1.018,-0.009775248904642375
1998-03-16,1.008,-0.009871748479154134
1998-03-23,1.0,-0.007968169649176881
1998-03-30,1.03,0.02955880224154443
1998-04-06,1.028,-0.001943635208571038
1998-04-13,1.025,-0.0029225544426019767
1998-04-20,1.028,0.0029225544426019767
1998-04-27,1.04,0.011605546120307939
