date,QCAR628BIS,property_inflation
1970-04-01,37.968,-0.004939319589553737
1970-07-01,37.9694,3.687247654404757e-05
1970-10-01,39.2483,0.033127559018558905
1971-01-01,39.3671,0.0030223109067732956
1971-04-01,39.3207,-0.001179344329818921
1971-07-01,38.4867,-0.02143837070034804
1971-10-01,40.191,0.043330362897841646
1972-01-01,40.5548,0.009011055972783844
1972-04-01,40.1811,-0.009257410119311693
1972-07-01,39.9087,-0.006802390576211792
1972-10-01,41.4609,0.03815646920185012
1973-01-01,42.8286,0.032455289282300015
1973-04-01,44.0957,0.029156168305510377
1973-07-01,45.9932,0.04213128744490602
1973-10-01,49.458,0.07263026508435999
1974-01-01,53.4329,0.07730283656123138
1974-04-01,53.9581,0.009781158331641393
1974-07-01,51.9224,-0.03845752316304507
1974-10-01,50.5824,-0.026146606588033805
1975-01-01,52.3001,0.03339459341399875
1975-04-01,52.7495,0.008556010523328883
1975-07-01,52.6966,-0.0010033563012377122
1975-10-01,53.7604,0.0199861993263748
1976-01-01,55.2735,0.027756452669827514
1976-04-01,55.1155,-0.002862606018614322
1976-07-01,54.3968,-0.01312565471230398
1976-10-01,55.6545,0.022857608383735073
1977-01-01,55.0012,-0.011807933809772742
1977-04-01,53.8157,-0.02178975701882857
1977-07-01,52.5208,-0.024355964546401765
1977-10-01,52.9268,0.0077005452236074134
1978-01-01,51.7007,-0.0234385057600921
1978-04-01,51.9882,0.005545448679006526
1978-07-01,50.6426,-0.026223650423637057
1978-10-01,52.1497,0.029325309463679616
1979-01-01,52.7986,0.012366246415557836
1979-04-01,52.5003,-0.005665791342201576
1979-07-01,51.268,-0.02375210799938854
1979-10-01,52.3275,0.020455269631786788
1980-01-01,51.965,-0.006951630458979174
1980-04-01,52.6186,0.012499254364531698
1980-07-01,53.2653,0.012215417858660427
1980-10-01,55.1131,0.03410235018362684
1981-01-01,55.3253,0.00384287097859648
1981-04-01,54.1514,-0.02144648120405579
1981-07-01,53.9099,-0.004469692703311878
1981-10-01,53.3701,-0.01006347046251177
1982-01-01,49.9413,-0.06640234830561598
1982-04-01,46.411,-0.07331181564898515
1982-07-01,44.5808,-0.04023322703767551
1982-10-01,44.8439,0.005884297272491512
1983-01-01,47.5729,0.059075701041574114
1983-04-01,46.9129,-0.013970580440797686
1983-07-01,45.5781,-0.028865352937755162
1983-10-01,45.3283,-0.005495776507201011
1984-01-01,44.7537,-0.012757438624777961
1984-04-01,44.6375,-0.0025998099466115754
1984-07-01,43.452,-0.02691743234906241
1984-10-01,43.657,0.004706755408884877
1985-01-01,44.0698,0.009411104628581857
1985-04-01,44.5679,0.011239128344685323
1985-07-01,44.3632,-0.004603572012827684
1985-10-01,45.8828,0.03368002222886801
1986-01-01,47.9293,0.04363668926343989
1986-04-01,49.934,0.040975125027593595
1986-07-01,50.1968,0.005249146185232867
1986-10-01,53.121,0.05662105064622658
1987-01-01,57.0545,0.07143462108221321
1987-04-01,55.5708,-0.026349067929224645
1987-07-01,54.9799,-0.010690219552948577
1987-10-01,57.601,0.04657226477002485
1988-01-01,62.3947,0.07994040720843376
1988-04-01,62.9174,0.008342419151548874
1988-07-01,62.8652,-0.0008300035616493062
1988-10-01,67.4448,0.07031673407746108
1989-01-01,73.3049,0.08331796968782168
1989-04-01,65.8445,-0.10733155368352776
1989-07-01,66.4438,0.00906057602837862
1989-10-01,69.7538,0.04861542193349511
1990-01-01,67.5298,-0.0324029175685272
1990-04-01,62.4174,-0.07872489927682391
1990-07-01,62.1389,-0.004471880813953888
1990-10-01,61.7217,-0.006736630983324332
1991-01-01,62.8896,0.018745237361942557
1991-04-01,64.6496,0.027601109813557123
1991-07-01,60.6447,-0.06394967311014543
1991-10-01,61.4754,0.013604849864191415
1992-01-01,62.246,0.012457181461000388
1992-04-01,62.4045,0.0025431119076744224
1992-07-01,62.2837,-0.0019376338385592717
1992-10-01,63.3541,0.017039870162239623
1993-01-01,63.4489,0.0014952330412087989
1993-04-01,63.325,-0.0019546616369581216
1993-07-01,61.6873,-0.02620212084721718
1993-10-01,62.1336,0.007208830379143549
1994-01-01,65.2806,0.049407996370418594
1994-04-01,64.9638,-0.004864710110629389
1994-07-01,63.5918,-0.021345660463279792
1994-10-01,64.1518,0.008767618687983258
1995-01-01,61.8,-0.037348785440512344
1995-04-01,59.7468,-0.03378773157158044
1995-07-01,60.2065,0.00766468701592693
1995-10-01,60.2802,0.0012233716948317763
1996-01-01,59.3029,-0.0163454829163161
1996-04-01,60.0992,0.013338321617974103
1996-07-01,59.1821,-0.015377399000858993
1996-10-01,59.1669,-0.00025686740206598557
1997-01-01,59.5324,0.006158438258237808
1997-04-01,60.852,0.021923984441087896
1997-07-01,59.6366,-0.020175207048383825
1997-10-01,59.6044,-0.0005400827028072541
1998-01-01,58.7239,-0.01488259785520274
1998-04-01,59.0789,0.0060270396734214415
1998-07-01,57.8426,-0.0211483102370984
1998-10-01,58.5593,0.012314387598888032
1999-01-01,58.7262,0.0028460485338319685
1999-04-01,60.367,0.027556633453635015
1999-07-01,59.4352,-0.015555954569629549
1999-10-01,60.0834,0.010846953618838029
2000-01-01,60.0781,-8.82146112264337e-05
2000-04-01,60.7112,0.01048281259298367
2000-07-01,60.0141,-0.011548660434206326
2000-10-01,60.2252,0.0035113347615283175
2001-01-01,59.9364,-0.004806869350674425
2001-04-01,61.4723,0.025302666820150144
2001-07-01,61.582,0.001782953201320936
2001-10-01,62.9644,0.02219986726268619
2002-01-01,65.2819,0.03614532831551731
2002-04-01,66.8507,0.023746959072863838
2002-07-01,65.5858,-0.01910256559349577
2002-10-01,67.3334,0.02629718972779216
2003-01-01,67.8665,0.007886141377950295
2003-04-01,70.2154,0.0340251199827879
2003-07-01,71.4255,0.017087288249999055
2003-10-01,73.4024,0.02730168419124901
2004-01-01,74.2622,0.011645441316146865
2004-04-01,76.8288,0.03397749590895227
2004-07-01,74.8802,-0.025690066752759755
2004-10-01,77.4083,0.03320450688258347
2005-01-01,79.9915,0.032826369040426684
2005-04-01,81.3015,0.016244087539114105
2005-07-01,81.9154,0.00752254080278103
2005-10-01,82.9501,0.012552214810390261
2006-01-01,85.7043,0.032663777192945
2006-04-01,88.7321,0.034718718498307766
2006-07-01,90.9656,0.024859695198020226
2006-10-01,91.7787,0.00889883148991455
2007-01-01,93.7974,0.021756892517482918
2007-04-01,96.3848,0.027211375757823397
2007-07-01,98.4006,0.020698388764863296
2007-10-01,98.8034,0.00408511551658286
2008-01-01,99.8948,0.010985615130524984
2008-04-01,98.6176,-0.012867887582358684
2008-07-01,95.6457,-0.030599005356783948
2008-10-01,93.2897,-0.024941034119613903
2009-01-01,90.65,-0.02870376798808394
2009-04-01,91.9992,0.01477394415819866
2009-07-01,95.0233,0.0323422433272853
2009-10-01,97.6484,0.02725114745346424
2010-01-01,100.2078,0.025872757792622103
2010-04-01,101.3726,0.01155680774694634
2010-07-01,99.6789,-0.0168488180141253
2010-10-01,98.7576,-0.009285656820129162
2011-01-01,100.5608,0.0180941568547075
2011-04-01,102.6013,0.020088083521870637
2011-07-01,103.7908,0.01152673159745543
2011-10-01,103.6424,-0.00143082231116054
2012-01-01,105.5008,0.01777202331776362
2012-04-01,106.9604,0.013740136676717363
2012-07-01,106.1072,-0.00800876867600575
2012-10-01,104.804,-0.012357964728974657
2013-01-01,105.4397,0.006047286432623089
2013-04-01,107.0995,0.015619083378606291
2013-07-01,107.4779,0.0035269361288916556
2013-10-01,108.0509,0.005317167357682173
2014-01-01,109.3824,0.01224758713669516
2014-04-01,110.4865,0.01004334201651158
2014-07-01,111.0629,0.005203365935567916
2014-10-01,111.8767,0.007300664526220579
2015-01-01,114.8825,0.026512494891274052
2015-04-01,117.4707,0.02227907388471806
2015-07-01,119.206,0.01466414814863981
2015-10-01,120.8037,0.013313825235798049
2016-01-01,126.8529,0.04886123326085823
2016-04-01,133.3875,0.0502302785111004
2016-07-01,137.2739,0.028719774077782034
2016-10-01,138.2891,0.007368221372157535
2017-01-01,146.4312,0.057209272182963566
2017-04-01,153.8499,0.04942175820850281
2017-07-01,155.6749,0.011792406610321216
2017-10-01,154.7041,-0.006255598257729922
2018-01-01,154.1596,-0.0035258307407337597
2018-04-01,154.8668,0.004576963227542308
2018-07-01,154.4322,-0.0028102275533816723
2018-10-01,154.2986,-0.000865478976113998
2019-01-01,152.6025,-0.011053184677963124
2019-04-01,151.9017,-0.004602900303524393
2019-07-01,151.7855,-0.0007652611349495686
2019-10-01,153.6127,0.011966159609690052
2020-01-01,156.2876,0.017263400080103963
2020-04-01,160.48,0.02647142454627538
2020-07-01,161.8394,0.008435161273693481
2020-10-01,165.1592,0.02030537173099667
2021-01-01,167.5473,0.014355842242503414
2021-04-01,176.1898,0.05029612360287139
2021-07-01,177.8587,0.009427591761559384
2021-10-01,179.6824,0.01020143315493005
2022-01-01,198.6088,0.10014621282042402
2022-04-01,187.6727,-0.056637572645087175
2022-07-01,169.2657,-0.10322981847916246
2022-10-01,160.5835,-0.05265561316780776
2023-01-01,159.7203,-0.005389896028288099
2023-04-01,165.2447,0.03400324511995301
2023-07-01,162.728,-0.015347310300025896
2023-10-01,156.2618,-0.04054728953516662
2024-01-01,156.4379,0.001126320355386845
2024-04-01,156.3952,-0.00027298901724392977
2024-07-01,153.0619,-0.021543722365792384
2024-10-01,150.5798,-0.01634923851391079
2025-01-01,150.6656,0.00056963526958409
2025-04-01,149.1986,-0.009784507145422339
2025-07-01,145.3009,-0.02647153970935534
2025-10-01,142.29,-0.020939536080665455
2026-01-01,140.4085,-0.013311197487898774
